@relation tweeters

@attribute firstperson	numeric
@attribute secondperson	numeric
@attribute thirdperson	numeric
@attribute conjunctions	numeric
@attribute pasttense	numeric
@attribute futuretense	numeric
@attribute commas	numeric
@attribute colonssemis	numeric
@attribute dashes	numeric
@attribute parentheses	numeric
@attribute ellipses	numeric
@attribute commonnouns	numeric
@attribute propernouns	numeric
@attribute averbs	numeric
@attribute wh-words	numeric
@attribute modernslang	numeric
@attribute all-caps	numeric
@attribute avg-sent-len	numeric
@attribute avg-token-len	numeric
@attribute sentencecount	numeric
@attribute class	{KimKardashian,katyperry}

@data
2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 7, 1, 1, 1, 0, 2, 7.750, 3.677, 4, KimKardashian
2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 9, 2, 2, 0, 1, 2, 8.333, 4.400, 3, KimKardashian
3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 0, 1, 4.667, 3.929, 3, KimKardashian
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 7, 2, 1, 0, 1, 3, 8.000, 5.750, 2, KimKardashian
1, 2, 2, 0, 5, 0, 0, 0, 0, 0, 0, 6, 1, 1, 1, 2, 4, 5.750, 3.130, 4, KimKardashian
0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 10, 1, 3, 0, 0, 4, 8.000, 4.167, 3, KimKardashian
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2.000, 5.000, 1, KimKardashian
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 1, 4.000, 7.750, 1, KimKardashian
2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 4, 1, 0, 0, 0, 1, 14.000, 3.286, 1, KimKardashian
0, 1, 0, 0, 3, 0, 1, 2, 0, 0, 0, 6, 0, 1, 0, 0, 2, 5.000, 3.950, 4, KimKardashian
1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 4, 0, 0, 0, 1, 7.000, 4.714, 2, KimKardashian
1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 8.500, 3.824, 2, KimKardashian
0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 12, 0, 3, 1, 1, 5, 26.000, 4.423, 1, KimKardashian
0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 7, 0, 3, 0, 0, 5, 6.000, 3.375, 4, KimKardashian
3, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 3, 1, 1, 0, 0, 3, 5.333, 3.500, 3, KimKardashian
2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 2, 1, 0, 0, 1, 10.500, 3.286, 2, KimKardashian
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 8.000, 5.000, 1, KimKardashian
