@relation tweeters

@attribute firstperson	numeric
@attribute secondperson	numeric
@attribute thirdperson	numeric
@attribute conjunctions	numeric
@attribute pasttense	numeric
@attribute futuretense	numeric
@attribute commas	numeric
@attribute colonssemis	numeric
@attribute dashes	numeric
@attribute parentheses	numeric
@attribute ellipses	numeric
@attribute commonnouns	numeric
@attribute propernouns	numeric
@attribute averbs	numeric
@attribute wh-words	numeric
@attribute modernslang	numeric
@attribute all-caps	numeric
@attribute avg-sent-len	numeric
@attribute avg-token-len	numeric
@attribute sentencecount	numeric
@attribute class	{pop,news}

@data
0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 4, 1, 1, 0, 0, 0, 8.500, 5.467, 2, pop
1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 0, 5.000, 4.375, 2, pop
1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 5, 4, 1, 0, 0, 0, 6.250, 4.190, 4, pop
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 4, 1, 1, 0, 1, 5.333, 4.308, 3, pop
1, 3, 0, 0, 0, 0, 0, 1, 1, 0, 0, 9, 1, 0, 0, 0, 12, 12.000, 4.045, 2, pop
0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 7, 7, 1, 0, 0, 1, 14.000, 4.000, 2, pop
1, 2, 0, 0, 2, 0, 1, 2, 1, 1, 0, 7, 3, 2, 0, 1, 1, 8.000, 4.240, 4, pop
2, 1, 0, 0, 2, 0, 0, 3, 1, 6, 0, 7, 1, 2, 1, 0, 12, 16.000, 4.091, 2, pop
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 4, 0, 0, 0, 0, 7.000, 4.500, 2, pop
1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 6, 1, 0, 0, 0, 1, 6.000, 4.375, 3, pop
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 1, 0, 1, 0, 0, 0, 8.000, 3.600, 2, pop
2, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 4, 1, 2, 0, 0, 0, 5.500, 4.667, 4, pop
0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 3, 4, 0, 0, 0, 1, 17.000, 3.286, 1, pop
0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 4, 3, 0, 0, 0, 0, 13.000, 5.000, 1, pop
0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 0, 0, 0, 1, 3.500, 3.500, 2, pop
0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 8, 6, 0, 0, 0, 3, 15.500, 4.000, 2, pop
3, 2, 0, 0, 0, 0, 0, 0, 3, 0, 0, 5, 1, 1, 1, 0, 1, 10.000, 3.480, 3, pop
1, 4, 0, 1, 2, 0, 0, 0, 1, 0, 0, 5, 3, 2, 0, 0, 4, 5.167, 3.800, 6, pop
2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 7, 2, 0, 1, 0, 0, 10.333, 4.036, 3, pop
0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 3, 0, 0, 0, 0, 12.000, 3.636, 1, pop
2, 0, 0, 1, 2, 0, 3, 1, 0, 0, 0, 6, 3, 1, 0, 0, 1, 28.000, 4.870, 1, pop
0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 4, 4, 1, 0, 0, 1, 18.000, 5.062, 1, pop
0, 0, 0, 2, 2, 0, 3, 0, 1, 0, 1, 6, 10, 0, 0, 0, 0, 7.500, 4.667, 4, pop
1, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 8, 1, 1, 0, 0, 3, 10.000, 4.750, 2, pop
0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 10, 3, 2, 0, 1, 4, 7.333, 5.190, 3, pop
0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 3.500, 4.750, 2, pop
0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 3, 3, 0, 0, 0, 1, 17.000, 3.615, 1, pop
2, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 10, 3, 2, 0, 1, 16, 10.000, 4.074, 3, pop
1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 5, 3, 1, 0, 0, 1, 9.500, 5.375, 2, pop
1, 4, 2, 1, 4, 0, 0, 1, 1, 0, 0, 6, 3, 3, 0, 2, 4, 11.000, 3.633, 3, pop
1, 0, 0, 1, 3, 0, 0, 0, 1, 0, 0, 7, 2, 2, 0, 0, 1, 14.000, 3.480, 2, pop
1, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 6, 0, 1, 0, 1, 0, 6.333, 3.562, 3, pop
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 4.000, 5.500, 1, pop
2, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 4, 1, 1, 0, 0, 0, 8.333, 4.682, 3, pop
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 5.000, 4.750, 1, pop
2, 4, 0, 0, 1, 0, 0, 0, 1, 0, 0, 7, 4, 2, 0, 2, 4, 7.500, 4.231, 4, pop
1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 15, 1, 2, 0, 0, 13, 8.667, 4.833, 3, pop
0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 2, 2, 1, 0, 0, 0, 9.500, 3.867, 2, pop
2, 1, 1, 1, 0, 0, 0, 0, 1, 2, 0, 7, 1, 0, 1, 0, 0, 12.500, 4.450, 2, pop
4, 4, 0, 0, 3, 1, 0, 0, 1, 0, 0, 9, 2, 1, 0, 3, 6, 8.750, 3.387, 4, pop
0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 7, 3, 0, 1, 0, 2, 13.000, 4.864, 2, pop
1, 0, 1, 1, 2, 0, 0, 0, 1, 0, 0, 5, 0, 0, 0, 0, 0, 6.000, 4.133, 3, pop
2, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 4, 2, 0, 0, 0, 0, 13.500, 3.957, 2, pop
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 2, 0, 0, 0, 0, 8.667, 4.696, 3, pop
1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 2, 4, 2, 0, 0, 1, 6.667, 4.688, 3, pop
2, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 8, 1, 1, 0, 0, 5, 6.750, 4.000, 4, pop
2, 0, 0, 2, 3, 0, 0, 0, 1, 0, 0, 7, 1, 4, 0, 0, 0, 7.750, 3.815, 4, pop
1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 2, 1, 0, 0, 0, 9.500, 4.765, 2, pop
1, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 4, 1, 0, 0, 0, 1, 9.000, 4.600, 2, pop
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.000, 4.333, 1, pop
0, 2, 2, 0, 0, 0, 1, 0, 1, 0, 0, 4, 0, 1, 0, 0, 0, 7.667, 4.105, 3, pop
0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 1, 1, 0, 0, 4.333, 4.900, 3, pop
1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 3, 1, 1, 0, 0, 1, 15.000, 3.769, 1, pop
1, 0, 0, 3, 1, 0, 1, 3, 1, 2, 0, 9, 2, 3, 0, 0, 2, 11.000, 4.652, 3, pop
3, 2, 0, 2, 2, 0, 0, 0, 1, 0, 0, 6, 5, 1, 0, 0, 1, 7.250, 4.042, 4, pop
0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 3, 4, 0, 0, 0, 0, 13.000, 4.778, 1, pop
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 4.000, 3.500, 2, pop
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 5.500, 5.300, 2, pop
0, 0, 1, 0, 3, 0, 0, 1, 1, 0, 0, 7, 2, 0, 0, 0, 1, 6.000, 5.389, 4, pop
0, 0, 0, 0, 2, 0, 1, 0, 1, 0, 0, 9, 1, 0, 0, 0, 0, 12.500, 4.000, 2, pop
0, 0, 1, 1, 1, 0, 2, 0, 1, 0, 0, 8, 1, 0, 0, 0, 0, 23.000, 4.833, 1, pop
1, 1, 1, 0, 2, 0, 0, 0, 1, 0, 0, 6, 1, 1, 0, 0, 1, 6.500, 4.087, 4, pop
1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 5, 1, 0, 0, 0, 0, 10.000, 5.056, 2, pop
